QUEST_LV_0500_20190513_000001		누군가는 해야 할 일이면 다른 사람이 했으면 좋겠어요.{nl}왜 저한태 이런 걸 시키는 걸까요.				케도라 상단원 이네타
QUEST_LV_0500_20210813_001080	對於擋著帕歐皮斯渡口與亞夏克地牢1層入口的巨大克魯比那屏障，歐勒夏的領主與你談了相關疑問{nl}他請求與你一同調查亞夏克地牢{nl}進入亞夏克地牢2層前，請先調查克魯比那屏障	오르샤의 영주는 당신에게 파우피스 나루와 아샤크 지하 감옥 1층의 입구를 차단하고 있는 거대한 크루비나 장벽에 대해 의문을 이야기했습니다{nl}그와 함께 아샤크 지하 감옥에 대한 조사를 부탁했습니다{nl}아샤크 지하 감옥 2층으로 진입하기 전에 크루비나 장벽을 먼저 조사해보세요
QUEST_LV_0500_20210813_001081	進入亞夏克地牢2層	아샤크 지하 감옥 2층 진입하기
QUEST_LV_0500_20210813_001082	廣闊的歐勒夏近郊豎立著巨大克魯比那屏障實在可疑{nl}請藉由歐勒夏的領主說的通道，前往亞夏克地牢2層	넓은 오르샤 근방에 거대한 크루비나 장벽이 서 있는 게 수상합니다{nl}오르샤의 영주가 일러준 진입로를 통해 아샤크 지하 감옥 2층으로 이동하세요
QUEST_LV_0500_20210813_001083	與帕烏魯斯說話	파울루스와 이야기하기
QUEST_LV_0500_20210813_001084	與帕亞烏塔的哥哥帕烏魯斯見面了{nl}請與他說話	파야우타의 오빠인 파울루스를 만났습니다{nl}그와 이야기해보세요
QUEST_LV_0500_20210813_001085	在正式調查前，請清理怪物們。	본격적인 조사에 앞서 몬스터들을 정리하세요
QUEST_LV_0500_20210813_001086	為了收集注視者暴行的證據，必須開始調查{nl}請消滅周遭的怪物，以利調查順利進行	주시자가 벌인 만행에 대한 증거를 모으기 위해 조사를 시작해야 합니다{nl}조사에 방해가 되지 않도록 주변 몬스터를 처치하세요
QUEST_LV_0500_20210813_001087	與帕亞烏塔對話	파야우타와 대화하기
QUEST_LV_0500_20210813_001088	已充分除去襲來的怪物{nl}請與帕亞烏塔商討下個目標	공격해오는 몬스터들을 충분히 제거했습니다{nl}다음 목표를 위해 파야우타와 상의하세요
QUEST_LV_0500_20210813_001089	請與帕亞烏塔討論下一步	이다음을 위해 파야우타와 논의하세요
QUEST_LV_0500_20210813_001090	從怪物身上盜取研究資料	몬스터들로부터 연구자료 훔치기
QUEST_LV_0500_20210813_001091	莫克斯拉手上的研究資料是重要的證物{nl}請消滅莫克斯拉們，並奪取他們的研究資料	모크슬라들이 가지고 있는 연구 자료는 중요한 증거물입니다{nl}모크슬라들을 처치하고 그들의 연구자료를 탈취하세요
QUEST_LV_0500_20210813_001092	已從莫克斯拉手上盜取足夠的資掉{nl}請與帕亞烏塔對話，談論下一步	모크슬라들로부터 충분한 자료들을 훔쳤습니다{nl}파야우타와 대화하고 다음 할 일을 이야기하세요
QUEST_LV_0500_20210813_001093	消滅莫克斯拉	모크슬라 처치
QUEST_LV_0500_20210813_001094	尋找帕烏魯斯	파울루스를 찾기
QUEST_LV_0500_20210813_001095	請尋找帕烏魯斯	파울루스를 찾으세요
QUEST_LV_0500_20210813_001096	調查研究資料	연구 자료를 조사하기
QUEST_LV_0500_20210813_001097	據說莫克斯拉門的研究資料雖然重要，但還有其他真正寫有核心研究成果的資料{nl}必須在書櫃裡將資料找出來	모크슬라들의 연구 자료는 중요한 자료이지만, 정작 중요한 핵심적인 연구의 성과를 이룰 수 있는 연구에 대해 적힌 자료는 따로 있다고 합니다{nl}책장에서 자료를 찾아야합니다
QUEST_LV_0500_20210813_001098	找到了寫有注視者與奎普博學者交易的相關書籍{nl}請將書籍拿給帕烏魯斯看	주시자와 퀩 메이지의 거래에 관한 이야기가 적힌 서적을 찾았습니다{nl}파울루스에게 서적을 보여주세요
QUEST_LV_0500_20210813_001099	獲得重要的研究資料{nl}重要的研究資料獲取時不為組隊共享。	중요한 연구 자료 획득{nl}중요한 연구 자료는 파티 공유로 획득되지 않습니다.
QUEST_LV_0500_20210813_001100	與帕烏魯斯對話	파울루스와 대화하기
QUEST_LV_0500_20210813_001101	已獲取注視者以何種研究為目標的證據{nl}請與帕烏魯斯討論下個工作	주시자가 어떤 연구를 목표로하는 지에 대한 증거를 확보했습니다{nl}파울루스와 다음 할 일에 대해 이야기하세요
QUEST_LV_0500_20210813_001102	回收莫克斯拉掉落的失物	모크슬라들이 떨어뜨린 분실물 회수
QUEST_LV_0500_20210813_001103	需要證據來證明他們是因為研究而犧牲的人{nl}聽說莫克斯拉個性粗心，很容易掉東西{nl}請回收莫克斯拉搞丟的犧牲者們的隨身物	연구에 희생된 대상이 인간들임을 증명할 수 있는 증거가 필요합니다{nl}모크슬라들은 꼼꼼하지 못한 성격이니 쉽게 소지품을 떨어뜨린다고 합니다{nl}모크슬라들이 떨어뜨린 희생된 인간들의 소지품을 회수하세요
QUEST_LV_0500_20210813_001104	發現看起來像是王室高層人士隨身物品的昂貴物件{nl}請將隨身物交給帕亞烏塔，並討論下個目標	왕실 고위 인사들의 소지품으로 추정되는 값비싼 물건들을 발견했습니다{nl}파야우타에게 소지품들을 맡기고 다음 목표에 관해 이야기하세요
QUEST_LV_0500_20210813_001105	請與帕亞烏塔討論下個目標	파야우타와 다음 목표에 관해 이야기 하세요
QUEST_LV_0500_20210813_001106	調查故障的保管箱	고장 난 보관함 조사하기
QUEST_LV_0500_20210813_001107	請調查故障的保管箱	고장 난 보관함을 조사하세요
QUEST_LV_0500_20210813_001108	抵禦了怪物們的襲擊{nl}請與帕亞烏塔對話	몬스터들의 습격을 방어했습니다{nl}파야우타와 대화하세요
QUEST_LV_0500_20210813_001109	確認故障的保管箱	고장난 보관함 확인하기
QUEST_LV_0500_20210813_001110	請確認故障的保管箱	고장 난 보관함을 확인하세요
QUEST_LV_0500_20210813_001111	回收破碎的帕烏魯斯靈魂{nl}集齊靈魂後，可前往安全的地方復原帕烏魯斯的靈魂	조각난 파울루스의 영혼을 회수하기{nl}영혼을 모두 모으면 안전한 곳으로 이동해 파울루스의 영혼을 복구할 수 있습니다
QUEST_LV_0500_20210813_001112	已從故障的保管箱成功取得束縛劑{nl}然而，受爆炸影響，連帕烏魯斯的靈魂都破碎了{nl}趁帕烏魯斯的靈魂還沒完全消失，請將其靈魂再次聚攏{nl}集齊靈魂後，可前往安全的地方復原帕烏魯斯的靈魂	고장 난 보관함에서 성공적으로 영혼 구속제를 획득했습니다{nl}그러나, 폭발의 영향으로 파울루스의 영혼까지 조각나버렸습니다{nl}파울루스의 영혼이 완전히 사라지기 전에 그의 영혼들을 다시 모으세요{nl}영혼을 모두 모으면 안전한 곳으로 이동해 파울루스의 영혼을 복구할 수 있습니다
QUEST_LV_0500_20210813_001113	與帕烏魯斯對話{nl}集齊靈魂後，前往安全的地方復原帕烏魯斯的靈魂	파울루스와 대화하기{nl}영혼을 모두 모으면 안전한 곳으로 이동해 파울루스의 영혼을 복구하세요
QUEST_LV_0500_20210813_001114	所幸集齊了帕烏魯斯的靈魂{nl}請與帕烏魯斯對話	다행히 파울루스의 영혼을 모두 모았습니다{nl}파울루스와 이야기하세요
QUEST_LV_0500_20210813_001115	請與帕烏魯斯對話	파울루스와 대화하세요
QUEST_LV_0500_20210813_001116	啟動控制桿	레버 작동시키기
QUEST_LV_0500_20210813_001117	為了進入亞夏克地牢隔離區域，必須消滅莫克斯拉們的頭目{nl}請啟動控制桿喚出莫克斯拉 巴爾道勃斯	아샤크 지하 감옥 격리 구역으로 진입하기 위해서는 모크슬라들의 우두머리를 처치해야 합니다{nl}레버를 작동시켜 모크슬라 발도바스를 부르세요
QUEST_LV_0500_20210813_001118	進入亞夏克地牢隔離區域	아샤크 지하 감옥 격리구역으로 진입하기
QUEST_LV_0500_20210813_001119	已消滅莫克斯拉 巴爾道勃斯{nl}現在可安全地進入隔離區域	모크슬라 발도바스를 처치했습니다{nl}이제 안전하게 격리 구역으로 진입할 수 있습니다
QUEST_LV_0500_20210813_001120	前往亞夏克地牢隔離區域	아샤크 지하 감옥 격리 구역으로 향하기
QUEST_LV_0500_20210813_001121	請亞夏克地牢隔離區域移動{nl}帕烏魯斯與帕亞烏塔等在那裡	아샤크 지하 감옥 격리 구역으로 이동하세요{nl}파울루스와 파야우타가 기다리고 있습니다
QUEST_LV_0500_20210813_001122	阻止瘋狂馬魯若斯	광기의 마르녹스 막기
QUEST_LV_0500_20210813_001123	請阻止襲擊的瘋狂馬魯若斯	습격한 광기의 마르녹스를 저지하세요
QUEST_LV_0500_20210813_001124	瘋狂馬魯若斯居於劣勢後便逃跑了{nl}請與帕烏魯斯對話	광기의 마르녹스가 수세에 몰리자 도망쳤습니다{nl}파울루스와 대화하세요
QUEST_LV_0500_20210813_001125	往右走阻斷馬魯若斯的退路	우측으로 마르녹스의 퇴로를 차단하기
QUEST_LV_0500_20210813_001126	請往右走阻斷馬魯若斯的退路	오른쪽의 길로 이동하며 마르녹스의 퇴로를 차단하세요
QUEST_LV_0500_20210813_001127	消滅馬魯若斯的部下們並設置陷阱	마르녹스의 부하들을 처치하고 함정 설치하기
QUEST_LV_0500_20210813_001128	請消滅跟著瘋狂馬魯若斯的怪物，並設置陷阱阻斷退路	광기의 마르녹스를 따르는 무리를 처치하고 함정을 설치해 퇴로를 차단하세요
QUEST_LV_0500_20210813_001129	到下個地點繼續封鎖瘋狂馬魯若斯	다음 지점으로 광기의 마르녹스를 계속 몰아넣기
QUEST_LV_0500_20210813_001130	已在第一個地點設置炸彈，並消滅跟著馬魯若斯的怪物{nl}請往下個地點移動	첫 번째 지점에 폭탄을 설치하고 마르녹스를 따르는 무리를 처치했습니다{nl}다음 지점을 향해 이동하세요
QUEST_LV_0500_20210813_001131	請對付瘋狂馬魯若斯並設置炸彈	광기의 마르녹스를 상대하고 폭탄을 설치하기
QUEST_LV_0500_20210813_001132	發現瘋狂馬魯若斯{nl}請擊退瘋狂馬魯若斯並設置炸彈	광기의 마르녹스를 발견했습니다{nl}광기의 마르녹스를 격퇴하고 폭탄을 설치하세요
QUEST_LV_0500_20210813_001133	往左走阻斷馬魯若斯的退路	좌측으로 마르녹스의 퇴로를 차단하기
QUEST_LV_0500_20210813_001134	請往左走阻斷馬魯若斯的退路	왼쪽의 길로 이동가며 마르녹스의 퇴로를 차단하세요
QUEST_LV_0500_20210813_001135	與帕亞烏塔會合	파야우타와 합류하기
QUEST_LV_0500_20210813_001136	將一邊的退路全部封鎖了{nl}請在會合地點與帕亞烏塔會合	한 쪽 길의 퇴로를 모두 막았습니다{nl}합류 지점에서 파야우타와 합류하세요
QUEST_LV_0500_20210813_001137	擊退襲擊的怪物們	습격하는 몬스터들 격퇴하기
QUEST_LV_0500_20210813_001138	瘋狂馬魯若斯被逼向死路後，立即逃往中央監視區域{nl}為了追上瘋狂馬魯若斯與帕亞烏塔，請消滅襲來的怪物。	광기의 마르녹스가 막다른 길에 몰리자 중앙 감시 지역으로 도망쳤습니다{nl}광기의 마르녹스와 파야우타의 뒤를 쫓기 위해 습격해오는 몬스터들을 처치하세요
QUEST_LV_0500_20210813_001139	與帕亞烏塔對話	파야우타와 이야기하기
QUEST_LV_0500_20210813_001140	瘋狂馬魯若斯逃往中央監視區域了{nl}最後追擊他之前，請與帕亞烏塔對話	광기의 마르녹스가 중앙 감시 지역으로 도망쳤습니다{nl}마지막으로 그를 쫓기 전에 파야우타와 대화하세요
QUEST_LV_0500_20210813_001141	消滅襲來的怪物們	습격해오는 몬스터들 처치
QUEST_LV_0500_20210813_001142	前往中央監視區域	중앙 감시 구역으로 가기
QUEST_LV_0500_20210813_001143	阻擋了怪物們的襲擊{nl}請往帕亞烏塔與瘋狂馬魯若斯消失的中央監視區域移動	몬스터들의 습격을 막아냈습니다{nl}파야우타와 광기의 마르녹스가 사라진 중앙 감시 구역으로 이동하세요
QUEST_LV_0500_20210813_001144	消滅帕烏魯斯	파울루스 처치하기
QUEST_LV_0500_20210813_001145	帕烏魯斯露出本性，襲擊了帕亞烏塔{nl}請阻止支配瘋狂馬魯若斯身體的帕烏魯斯	파울루스가 본색을 드러내고 파야우타를 습격했습니다{nl}광기의 마르녹스의 몸을 지배하고 있는 파울루스를 저지하세요
QUEST_LV_0500_20210813_001146	確認倒下的帕烏魯斯狀態	쓰러진 파울루스의 상태를 확인하기
QUEST_LV_0500_20210813_001147	請確認倒下的帕烏魯斯的狀態	쓰러진 파울루스의 상태를 확인하세요
QUEST_LV_0500_20210813_001148	消滅帕烏魯斯	파울루스 처치
QUEST_LV_0500_20210813_001149	確認帕亞烏塔的狀態	파야우타의 상태를 확인하기
QUEST_LV_0500_20210813_001150	請確認帕亞烏塔的狀態	파야우타의 상태를 확인하세요
QUEST_LV_0500_20210813_001151	追擊注視者之前，請先與帕亞烏塔對話	주시자를 쫓기 전에 파야우타와 이야기하세요
QUEST_LV_0500_20210813_001152	追擊注視者	주시자를 추적하기
QUEST_LV_0500_20210813_001153	請追擊注視者	주시자를 추적하세요
QUEST_LV_0500_20210813_001154	追擊注視者	주시자 추격하기
QUEST_LV_0500_20210813_001155	請追擊注視者	주시자를 쫓아가세요
QUEST_LV_0500_20210813_001156	注視者走向某處並對你說話{nl}請突破怪物們的攻擊，追擊注視者	주시자는 어딘가로 향하며 당신에게 이야기하고 있습니다{nl}몬스터들의 공격을 뚫고 주시자를 쫓으세요
QUEST_LV_0500_20210813_001157	請往注視者消失的方向追擊注視者	주시자가 사라진 방향으로 주시자를 추격하세요
QUEST_LV_0500_20210813_001158	請消滅怪物，追擊注視者	몬스터를 처치하고 주시자 추격하기
QUEST_LV_0500_20210813_001159	請阻止怪物們的襲擊，並追擊注視者	몬스터들의 습격을 저지하고 주시자를 추격하세요
QUEST_LV_0500_20210813_001160	請往注視者消失的方向追上注視者	주시자가 사라진 방향으로 주시자를 쫓아가세요
QUEST_LV_0500_20210813_001161	請阻止怪物們的襲擊，並追上注視者	몬스터들의 습격을 저지하고 주시자를 쫓으세요
QUEST_LV_0500_20210813_001162	消滅沒用的鐵甲殘魔	쓸모없는 어보미네이션을 처치하기
QUEST_LV_0500_20210813_001163	沒用的鐵甲殘魔出現了{nl}請消滅鐵甲殘魔並追擊注視者	쓸모없는 어보미네이션이 나타났습니다{nl}어보미네이션을 처치하고 주시자를 추격하세요
QUEST_LV_0500_20210813_001164	追擊注視者	주시자 추격
QUEST_LV_0500_20210813_001165	擋下襲擊	습격을 막아내기
QUEST_LV_0500_20210813_001166	請消滅襲來的怪物，繼續追擊注視者	습격해오는 몬스터들을 처치하고 주시자를 계속 추격하세요
QUEST_LV_0500_20210813_001167	破壞克魯比那屏障	크루비나 장벽을 부수기
QUEST_LV_0500_20210813_001168	請破壞注視者製造的克魯比那屏障，追擊注視者	주시자가 만들어낸 크루비나 장벽을 부수고 주시자를 추격하세요
QUEST_LV_0500_20210813_001169	%s 破壞	%s 부수기
QUEST_LV_0500_20210813_001170	消滅所有擋路的敵人	막아서는 적들을 모두 처치하기
QUEST_LV_0500_20210813_001171	請消滅所有擋路的敵人，以便追擊注視者	주시자를 추격하기 위해 막아서고 있는 적들을 모두 처치하세요
QUEST_LV_0500_20210813_001172	消滅擋在路上的怪物	길을 막아서고 있는 몬스터 처치
QUEST_LV_0500_20210813_001173	與注視者戰鬥	주시자와 전투
QUEST_LV_0500_20210813_001174	注視者和你面對面。{nl}請和和注視者較量一下。	주시자가 당신과 대면합니다{nl}주시자를 상대하세요
QUEST_LV_0500_20210813_001175	和注視者面對面	주시자와 대면하기
QUEST_LV_0500_20210813_001176	請和注視者面對面。	주시자와 대면하세요
QUEST_LV_0500_20210813_001177	與歐勒夏領主對話	오르샤의 영주와 대화하기
QUEST_LV_0500_20210813_001178	請與歐勒夏的領主對話	오르샤의 영주와 대화하세요
QUEST_LV_0500_20210813_001179	向隨軍牧師聽取關於聖者的祈禱所的傳聞	채플린 마스터에게서 성자의 기도소에 관한 소문을 듣기
